Company,Model,Lens,NA,Zoom_x,Core_Technology,Configuration,type_of_interaction,Acquisition_mode,STR_nm,Accuracy_microns,Accuracy_percentage,Vertical_Resolution_nm,Sq_repeatability_nm,Repeatability _nm,Ra_repeatability_nm,Rz_repeatability_nm,Angular_Coverage_Perfectdiffuser_deg,Angular_Coverage_MirrorLike_deg,LATA_microns,Optical_Resolution_microns,Spatial_Sampling_microns,img_width,img_height,area_mm2,Line_Lenght_mm,XYspeed_mm/sec,Working_disitance_mm,Z_Speed_Sca_micron/sec,Z_stage,Z_working_range_mm,XY_Stage,Weight_Kg,Max_sample_weight_Kg,Frequency_KHz,Max_number_of_points_per_scan_,Sample_reflectivity_percentage,Measurement_time_s,COST,High_res_color_texture,Max. sample stage positioning range ,Intorduction date,Reference document
zygo,ZeGage Plus,STD 22x,0.1,2,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,4.84,,2.85,0.19,,,0.19,,,4.2,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 50x,0.55,0.5,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,28.13,,0.52,0.33,,,0.34,,,3.4,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 50x,0.55,1,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,28.13,,0.52,0.17,,,0.17,,,3.4,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 50x,0.55,2,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,28.13,,0.52,0.08,,,0.08,,,3.4,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 100x,0.85,0.5,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,40.36,,0.34,0.16,,,0.17,,,0.5,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 100x,0.85,1,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,40.36,,0.34,0.08,,,0.08,,,0.5,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 100x,0.85,2,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,40.36,,0.34,0.04,,,0.04,,,0.5,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,LWD 1x,0.003,0.5,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,1.34,,9.5,16.42,,,16.81,,,8,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,LWD 1x,0.003,1,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,1.34,,9.5,8.15,,,8.34,,,8,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,LWD 1x,0.003,2,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,1.34,,9.5,4.1,,,4.2,,,8,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,LWD 2x,0.055,0.5,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,2.66,,5.18,8.21,,,8.41,,,21,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,LWD 2x,0.055,1,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,2.66,,5.18,4.07,,,4.17,,,21,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,LWD 2x,0.055,2,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,2.66,,5.18,2.05,,,2.1,,,21,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,LWD 5x,0.03,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,6.3,,1.02,3.28,,,3.36,,,21,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,LWD 5x,0.03,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,6.3,,1.02,1.63,,,1.67,,,21,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,LWD 5x,0.03,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,6.3,,1.02,0.82,,,0.84,,,21,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,LWD 10x,0.28,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,13.13,,1.02,1.44,,,1.47,,,19,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,LWD 10x,0.28,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,13.13,,1.02,0.7,,,0.73,,,19,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,LWD 10x,0.28,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,13.13,,1.02,0.36,,,0.37,,,19,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,SLWD 1x,0.03,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,1.34,,9.5,16.42,,,16.81,,,40,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,SLWD 1x,0.03,,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,1.34,,9.5,8.15,,,8.34,,,40,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
